Name ; Type ; Value ; Comment
P_Gang_3_558.arrstTuneDataGruppe[1].arrLuxLevels[11];REAL;206,2691;
P_Gang_3_558.arrstTuneDataGruppe[1].arrLuxLevels[12];REAL;219,2966;
P_Gang_3_558.arrstTuneDataGruppe[1].arrLuxLevels[13];REAL;234,4954;
P_Gang_3_558.arrstTuneDataGruppe[1].arrLuxLevels[14];REAL;260,5505;
P_Gang_3_558.arrstTuneDataGruppe[1].arrLuxLevels[15];REAL;267,0642;
P_Gang_3_558.arrstTuneDataGruppe[1].arrLuxLevels[16];REAL;288,7768;
P_Gang_3_558.arrstTuneDataGruppe[1].arrLuxLevels[17];REAL;308,3181;
P_Gang_3_558.arrstTuneDataGruppe[1].arrLuxLevels[18];REAL;321,3456;
P_Gang_3_558.arrstTuneDataGruppe[1].arrLuxLevels[19];REAL;340,8869;
P_Gang_3_558.arrstTuneDataGruppe[1].arrLuxLevels[20];REAL;353,9144;
P_Gang_3_558.arrstTuneDataGruppe[1].bTunnigDone;BOOL;True;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[0];REAL;2,171254;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[1];REAL;15,19878;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[2];REAL;34,74006;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[3];REAL;56,4526;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[4];REAL;80,3364;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[5];REAL;99,87768;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[6];REAL;121,5902;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[7];REAL;136,789;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[8];REAL;154,159;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[9];REAL;173,7003;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[10];REAL;191,0703;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[11];REAL;206,2691;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[12];REAL;219,2966;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[13];REAL;234,4954;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[14];REAL;260,5505;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[15];REAL;267,0642;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[16];REAL;288,7768;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[17];REAL;308,3181;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[18];REAL;321,3456;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[19];REAL;340,8869;
P_Gang_3_558.arrstTuneDataGruppe[2].arrLuxLevels[20];REAL;353,9144;
P_Gang_3_558.arrstTuneDataGruppe[2].bTunnigDone;BOOL;True;
P_Gang_3_558.byOnHoursOverflowCount;BYTE;0;
P_Gang_3_558.stPirSensorData.fBrightness;REAL;373,4557;
P_Gang_3_558.stPirSensorData.bPrc;BOOL;True;
P_Gang_3_558.stPirSensorData.bQueryBrightness;BOOL;False;
P_Gang_3_558.stPirSensorData.bBrightnessRead;BOOL;True;
P_Gang_3_558.uiBallastOnHours_MB;UINT;551;dintHMILysbraendtimer1 i gammel kode
P_Gang_3_558.uiPirOffDelayTime_MB;UINT;30;intHMI_Pir_SetValue i gammel kode
P_Gang_3_558.uiSPLuxLevel_MB;UINT;500;intHMI_Lux_SetValue i gammel kode
P_Gang_3_562A.byOnHoursOverflowCount;BYTE;0;
P_Gang_3_562A.stPirSensorData.fBrightness;REAL;276,682;
P_Gang_3_562A.stPirSensorData.bPrc;BOOL;False;
P_Gang_3_562A.stPirSensorData.bQueryBrightness;BOOL;False;
P_Gang_3_562A.stPirSensorData.bBrightnessRead;BOOL;False;
P_Gang_3_562A.stTuneData.arrLuxLevels[0];REAL;80,09216;
P_Gang_3_562A.stTuneData.arrLuxLevels[1];REAL;80,09216;
P_Gang_3_562A.stTuneData.arrLuxLevels[2];REAL;87,37328;
P_Gang_3_562A.stTuneData.arrLuxLevels[3];REAL;87,37328;
P_Gang_3_562A.stTuneData.arrLuxLevels[4];REAL;116,4977;
